phase,experiment,ratio_percent,horizon,seed,train_n,val_n,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE_100_percent,relative_MAE_change_percent
phase16,small_sample,80,3,2025,51826,11601,11878,1.159068486569686,1.9621837678730658,0.01523807725082236,0.015096119314736613,0.9847085283790118,1.1722809783054293,-1.1270755032502813
phase16,small_sample,100,3,2025,64783,11601,11878,1.1722809783054293,1.9695411691422107,0.01534955520622152,0.015233337349015738,0.9845936396313124,1.1722809783054293,0.0
phase16,small_sample,20,3,2026,12956,11601,11878,1.3898314384322994,2.187701981054876,0.018874711100860368,0.018682491533748395,0.9809915700877856,1.1904330604464584,16.750070592886505
phase16,small_sample,40,3,2026,25913,11601,11878,1.2780956020056549,2.0386917069548085,0.017093881520328588,0.016970218897079854,0.9834928142517616,1.1904330604464584,7.363920280097032
phase16,small_sample,60,3,2026,38869,11601,11878,1.3144277733852414,2.0806212552153,0.01722626580941689,0.01725221073201879,0.9828068288123454,1.1904330604464584,10.415933248046745
phase16,small_sample,80,3,2026,51826,11601,11878,1.2556391568431993,2.0571769573402636,0.016461351774521574,0.016479275929487763,0.983192108811307,1.1904330604464584,5.477510543288012
phase16,small_sample,100,3,2026,64783,11601,11878,1.1904330604464584,1.9599611912233372,0.015664854978307254,0.015586527983314093,0.984743150232468,1.1904330604464584,0.0
phase16,small_sample,20,3,3407,12956,11601,11878,1.431181030254168,2.2184217567828037,0.019077627454712243,0.018967013832481668,0.9804539881656584,1.1555155800496475,23.85648925587628
phase16,small_sample,40,3,3407,25913,11601,11878,1.2652300145614426,2.0955617979163645,0.016812332917461075,0.016669622066886262,0.9825590205254287,1.1555155800496475,9.494846837727719
phase16,small_sample,60,3,3407,38869,11601,11878,1.220450975855185,2.009794746433773,0.016185361705451772,0.016054109163256888,0.9839574523110379,1.1555155800496475,5.619603658026612
phase16,small_sample,80,3,3407,51826,11601,11878,1.1840255358018825,2.000489030672267,0.015588014796064524,0.015451641482776573,0.98410566821741,1.1555155800496475,2.467293063327634
phase16,small_sample,100,3,3407,64783,11601,11878,1.1555155800496475,1.9527490259612643,0.01522058698566632,0.015102492850048029,0.9848552264020841,1.1555155800496475,0.0
phase16,small_sample,20,6,42,13342,11700,12166,1.2783361990240556,1.87789012041674,0.01721826748051707,0.017097438349153043,0.9859927526989527,1.0392762719849977,23.002538736158964
phase16,small_sample,40,6,42,26685,11700,12166,1.1524439097900994,1.692921208248722,0.015216780776916438,0.015176430398656123,0.9886162346964111,1.0392762719849977,10.88908126315187
