experiment,model,feature_group,target,target_column,history_hours,horizon_hours,train_ratio,seed,mae,rmse,smape,n_train_windows,n_val_windows,n_test_windows,best_epoch,best_val_mae,train_start,train_end_selected,val_start,val_end,test_start,test_end
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.6,2,0.9709505243144259,1.7919178983518809,0.013171146340878208,36509,5629,6312,4,1.143004914333054,2025-12-15 13:00:00,2026-01-14 22:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.6,3,1.0131051519222283,1.793006080611574,0.013506992690963457,36509,5629,6312,10,1.161028081474094,2025-12-15 13:00:00,2026-01-14 22:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.6,4,1.0329000668833916,1.7444660859428915,0.013835361676775838,36509,5629,6312,10,1.2019552907504925,2025-12-15 13:00:00,2026-01-14 22:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.6,5,1.0382464503154103,1.8291001827520066,0.013978952431428913,36509,5629,6312,7,1.231447487195954,2025-12-15 13:00:00,2026-01-14 22:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.8,1,0.9069815763804698,1.7275437393253086,0.012340532640616984,47924,5629,6312,6,1.0826764936069333,2025-12-15 13:00:00,2026-01-25 01:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.8,2,0.885592168123852,1.7713504878543491,0.012140625506138458,47924,5629,6312,4,1.0189898266083268,2025-12-15 13:00:00,2026-01-25 01:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.8,3,0.9474906601077855,1.788557826027804,0.012756127089387937,47924,5629,6312,2,1.1135888762956065,2025-12-15 13:00:00,2026-01-25 01:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.8,4,0.9614485092791617,1.7351723690002738,0.013086319628606399,47924,5629,6312,10,1.0567517540640805,2025-12-15 13:00:00,2026-01-25 01:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.8,5,1.053168566356896,1.7818690421734067,0.013997224132037281,47924,5629,6312,7,1.1605754424674746,2025-12-15 13:00:00,2026-01-25 01:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,1.0,1,0.9161665418453241,1.7598724239518855,0.012382359506591228,59597,5629,6312,5,1.075917186184746,2025-12-15 13:00:00,2026-02-04 04:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,1.0,2,0.9391485523663848,1.7243505174406126,0.012701398107702353,59597,5629,6312,4,1.097473462366215,2025-12-15 13:00:00,2026-02-04 04:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,1.0,3,0.9364198870834138,1.842452452342968,0.013038292648046368,59597,5629,6312,8,1.053415008073252,2025-12-15 13:00:00,2026-02-04 04:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,1.0,4,0.8985904928093779,1.8081694443620142,0.012725060121237803,59597,5629,6312,5,1.0286821598141755,2025-12-15 13:00:00,2026-02-04 04:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,1.0,5,1.095091862068128,1.930812597600632,0.01515998311241708,59597,5629,6312,1,1.3091385028654103,2025-12-15 13:00:00,2026-02-04 04:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.2,1,0.9687368643093366,1.5717117559528566,0.01330939964292805,12393,5590,6321,9,1.1845810011589037,2025-12-15 13:00:00,2025-12-25 15:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.2,2,0.8986214853656987,1.4629136114977326,0.012027970415698242,12393,5590,6321,8,1.1211001244341965,2025-12-15 13:00:00,2025-12-25 15:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.2,3,0.9193356324931976,1.5292395073927507,0.012490263136227035,12393,5590,6321,4,1.1582236233678829,2025-12-15 13:00:00,2025-12-25 15:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.2,4,0.9650550701067128,1.5109083091973063,0.012930583467696509,12393,5590,6321,6,1.1935992505341395,2025-12-15 13:00:00,2025-12-25 15:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.2,5,1.0217086702674802,1.6049943630439523,0.013642002993646244,12393,5590,6321,3,1.2941392001184453,2025-12-15 13:00:00,2025-12-25 15:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.4,1,1.0248985550030558,1.5884445965101868,0.013750537505946216,24742,5590,6321,10,1.259984271300287,2025-12-15 13:00:00,2026-01-04 18:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.4,2,1.0047487959871562,1.489540598879167,0.013003792347708107,24742,5590,6321,5,1.2570601407018671,2025-12-15 13:00:00,2026-01-04 18:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.4,3,0.904221526129188,1.501903919388781,0.012279478846439021,24742,5590,6321,11,1.160734122042579,2025-12-15 13:00:00,2026-01-04 18:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.4,4,0.8997701437596637,1.4391808742859262,0.012080673442486426,24742,5590,6321,9,1.155721717657045,2025-12-15 13:00:00,2026-01-04 18:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.4,5,0.9842958153095677,1.511299878502142,0.013049732313481647,24742,5590,6321,7,1.2318663854718421,2025-12-15 13:00:00,2026-01-04 18:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.6,1,0.9878373908725009,1.4457861197094075,0.01283593875669683,37069,5590,6321,6,1.2340335968781881,2025-12-15 13:00:00,2026-01-14 20:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.6,2,0.8344862487870216,1.42743199300318,0.011325876824602019,37069,5590,6321,13,1.0117423676847346,2025-12-15 13:00:00,2026-01-14 20:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.6,3,0.9006876662606926,1.526971769583756,0.012175753293311192,37069,5590,6321,2,1.164717289714779,2025-12-15 13:00:00,2026-01-14 20:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.6,4,1.0380846761936742,1.6252113313944498,0.013995089494192304,37069,5590,6321,5,1.2063793728304677,2025-12-15 13:00:00,2026-01-14 20:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.6,5,0.9252066947938219,1.5090351717009063,0.01238544297730014,37069,5590,6321,4,1.1473917549965846,2025-12-15 13:00:00,2026-01-14 20:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
