model,ablation_group,history_hours,horizon_hours,epoch,split,train_loss,MAE,RMSE,sMAPE,best_val_MAE,best_epoch,elapsed_seconds
TCN,speed_reliability,24,6,3,val,0.01565003243939228,1.067660877847264,1.8025365554230137,0.014509842597011852,1.067660877847264,3,219.25476949999575
TCN,speed_reliability,24,6,4,val,0.014630730299263291,1.3006621753660024,1.7765121170593088,0.016549227332685684,1.067660877847264,3,292.23460749999504
TCN,speed_reliability,24,6,5,val,0.014005382010431732,1.190055517539,1.7703622223807456,0.015979427325568552,1.067660877847264,3,365.5128059999988
TCN,speed_reliability,24,6,6,val,0.013634635907152434,1.445562229645558,1.8855718718019636,0.017951341258292192,1.067660877847264,3,438.4798925000068
TCN,speed_reliability,24,6,7,val,0.013185588268772941,1.1007842724139874,1.7698003736755952,0.015006478354533252,1.067660877847264,3,512.6187612999929
TCN,speed_reliability,24,6,3,test,,1.0787106337916512,1.8900558294654415,0.014595737375225041,1.067660877847264,3,522.6167914999969
TCN,speed_volatility,24,6,1,val,0.030486085079018448,1.063437371213212,1.8095121583438585,0.014574012908592077,1.063437371213212,1,73.45469160001085
TCN,speed_volatility,24,6,2,val,0.01630777701550723,0.9029088660998222,1.6679615841893722,0.012608433007653472,0.9029088660998222,2,146.80234420001216
TCN,speed_volatility,24,6,3,val,0.014918932103754818,1.0350664797399798,1.6181607513911935,0.01367908533838007,0.9029088660998222,2,220.0271800000046
TCN,speed_volatility,24,6,4,val,0.013959470311648866,1.0137617857843382,1.6394057776002764,0.013449451302066482,0.9029088660998222,2,293.2853175000055
TCN,speed_volatility,24,6,5,val,0.013198287989337242,1.1229285750429854,1.6391752309630943,0.014516564052531438,0.9029088660998222,2,366.70860510000784
TCN,speed_volatility,24,6,6,val,0.012760791994081158,1.0011405090592864,1.605485245367353,0.013649591549611293,0.9029088660998222,2,439.9295404000004
TCN,speed_volatility,24,6,2,test,,0.9438298987495689,1.5828280244317874,0.0129382047985782,0.9029088660998222,2,449.5621314000018
TCN,full_features,24,6,1,val,0.03736581299813023,1.2831986719115167,2.1035906624534615,0.017285364135768887,1.2831986719115167,1,72.91256710000744
TCN,full_features,24,6,2,val,0.015990163920019555,1.134522101573455,1.8452665289731143,0.01506882071786072,1.134522101573455,2,146.20275170000969
TCN,full_features,24,6,3,val,0.013407275604736509,1.2245701602381518,1.9530114195568773,0.01645535009429203,1.134522101573455,2,219.609028699997
TCN,full_features,24,6,4,val,0.012438364748962483,1.0018582241351788,1.7493021779614166,0.013710102059590019,1.0018582241351788,4,292.9008843000047
TCN,full_features,24,6,5,val,0.011410638890654804,1.0152773666381836,1.771317512953977,0.014029696414917529,1.0018582241351788,4,366.135924400005
TCN,full_features,24,6,6,val,0.010790632198973929,0.9745199992514064,1.6866650494517275,0.013122735294577925,0.9745199992514064,6,439.84783040000184
TCN,full_features,24,6,7,val,0.010192105547068304,0.9955231306287977,1.717279659196501,0.013645759878404056,0.9745199992514064,6,513.1903583000094
TCN,full_features,24,6,8,val,0.00998964541206745,0.99032346741766,1.733186779308335,0.01387294911563605,0.9745199992514064,6,587.0046182000078
TCN,full_features,24,6,9,val,0.009553849367742518,0.9488778210501385,1.6659147226611493,0.012929155700154025,0.9488778210501385,9,661.6228817000083
TCN,full_features,24,6,10,val,0.009279555975748123,1.0025150807698568,1.68224462739279,0.013609078848599139,0.9488778210501385,9,734.9359345999983
TCN,full_features,24,6,11,val,0.009103857606093682,0.8952768391014164,1.6482406512540138,0.012369588790190303,0.8952768391014164,11,808.2219384000055
TCN,full_features,24,6,12,val,0.0089261273603989,1.0823041355100453,1.7976079266626683,0.014717806130050385,0.8952768391014164,11,881.4903581000108
TCN,full_features,24,6,13,val,0.008708987822734115,0.9724007047343458,1.674362526751009,0.013060090231056925,0.8952768391014164,11,955.1505640999967
TCN,full_features,24,6,14,val,0.008578106674399231,0.9959168282533303,1.7466799820663959,0.013677134511030411,0.8952768391014164,11,1028.3430579999986
TCN,full_features,24,6,15,val,0.008486405582344137,0.9194342989799303,1.6494952349628627,0.012409152354129385,0.8952768391014164,11,1101.6407242999994
TCN,full_features,24,6,11,test,,0.9086783526858158,1.4987160100532975,0.0120733035012432,0.8952768391014164,11,1111.4153951000044
