horizon_hours,point_id,n,MAE,RMSE,sMAPE
1,N043,197,1.8124931645272346,2.5040427902357236,0.026706588852288705
1,N044,204,1.9293088351978975,2.6070985085474447,0.028324526338117117
1,N045,199,1.8386671363408842,2.5199527668037107,0.027118690329366472
1,N046,200,1.8395151138305663,3.6642770474710304,0.022223383818772854
1,N047,202,1.8761834059611406,2.562413057717202,0.027525079988361185
1,N048,205,1.8440632145579268,2.5107527819048685,0.027085552966301125
1,N049,203,2.6387038583238724,3.566041375992268,0.06993346457317427
1,N050,204,2.6251807025834624,3.5044702488158883,0.07150054498841431
1,N051,205,1.799209408643769,2.388685108859513,0.02647288102527949
3,N001,125,0.33561944580078124,0.9785228677601034,0.0037891452945136065
3,N002,123,0.26294422925003175,0.5907159702607815,0.002819506600584645
3,N003,120,0.3583927790323893,0.7671484679887131,0.004020208499371539
3,N004,126,0.42288565257238964,0.9381585399833957,0.004754440394301203
3,N005,123,0.7339798531881193,0.8530896860142358,0.01704647481807486
3,N006,118,0.15292597625215174,0.499709792985637,0.001714817016768312
3,N007,126,0.32181040445963544,0.7776778001644165,0.0036139419269782505
3,N008,126,0.2922420804462736,0.7424671539663605,0.003281839518667006
3,N009,123,0.2872244361939469,0.6738671284157548,0.003220364681962893
3,N010,123,0.3358151815771087,0.8323803755456209,0.0036182483846760915
3,N011,126,0.24872334798177084,0.5435328002031747,0.0026657562012176723
3,N012,123,0.2431879431251588,0.7372757233063523,0.002623423809264345
3,N013,123,0.29047238729833585,0.7235404945639274,0.0031232800354681557
3,N014,125,0.2590611572265625,0.5861615120960167,0.0027791337669701203
3,N015,123,0.23646489585318217,0.572420132048715,0.0025370606474269994
3,N016,123,1.2405726735184832,2.0534005498975265,0.012773573804521597
3,N017,123,1.2676377335215003,2.277509248714645,0.013113695218984695
3,N018,123,0.30303347207666415,0.8811567569900729,0.0031354031027813387
3,N019,126,0.34568284049866693,0.911323748786547,0.0035753146182759643
3,N020,126,1.0336027599516369,1.9396113097365306,0.010545920562519885
3,N021,123,0.988287638842575,1.9039404529772725,0.010086001595206708
3,N022,123,0.3609763044651931,0.925071456588486,0.003729656651517085
3,N023,123,0.8989165391379256,1.6487842677906839,0.009147572105464094
