phase,stratification_type,stratum,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,relative_MAE_vs_best_stratum_percent,threshold_method,threshold_values,warning,error_rank
phase17,reliability,low,6,3407,3804,0.8692819101953356,1.4342241572721852,0.0116624157685175,0.0115497052177695,0.9909424997958792,26.94229090328561,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,6,3407,4134,0.684785112990927,1.0620806583152236,0.0077065995450778,0.0076623838051804,0.9883855451933392,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,6,3407,4228,1.277465930386546,1.9399489494218192,0.0190413857675737,0.0187359541475282,0.9900911451709492,86.54989808510506,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,1,42,4508,1.0214096148033107,2.294221263962823,0.014154052339613,0.0138838498404605,0.9807686254935984,16.772065203469317,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,1,42,3606,0.874703734170974,2.107295654860877,0.0111485414204655,0.0109123319488435,0.9733178349223656,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,1,42,4151,1.3244180364569709,2.7564626393814784,0.0182901758876892,0.0179116406596738,0.9757193332599696,51.413328275341904,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,1,2024,4508,1.2742136043051016,2.4710107215331107,0.0181578547432183,0.0175661863734627,0.9776905438467954,27.64172470415945,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,1,2024,3606,0.998273571795116,2.1912701235437058,0.0133413429329806,0.0129167443576992,0.9711489277497471,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,1,2024,4151,1.5588030717482595,2.9010408909016485,0.0218429371129424,0.0210905536989715,0.9731054620277124,56.1498887469482,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,1,2025,4508,1.0284581455173172,2.271233609200117,0.0145515653109344,0.0142775533622653,0.981152084060092,19.6954284280347,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,1,2025,3606,0.8592292613210906,2.118313119782935,0.0113051148390115,0.0110208548260005,0.973038103608245,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,1,2025,4151,1.3169312129047113,2.7937306860745297,0.0183140983479011,0.017862733831229,0.9750583337630864,53.26889716021663,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,1,2026,4508,1.1274258153250287,2.335081328989489,0.0153733182555993,0.0151361883034109,0.980077504084324,24.38824343147676,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,1,2026,3606,0.9063765065113306,2.1008589213660107,0.0114212430139621,0.0111955412079064,0.973480587297679,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,1,2026,4151,1.393196576016692,2.777867527168102,0.0189910186819009,0.0186113636171042,0.9753407735351428,53.71057899317646,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,1,3407,4508,1.0774590886580595,2.319369796059132,0.0145845234052239,0.0143180516350942,0.9803446981191388,21.48448033869193,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,1,3407,3606,0.8869108923659745,2.053941575316775,0.0111067721855288,0.0108721705805037,0.9746518484413312,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,1,3407,4151,1.3422523683250682,2.767846257340129,0.0185281962454759,0.0181141758171799,0.9755183709316112,51.34016053680416,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,3,42,4413,0.9457257402853552,1.719370064775913,0.0126358951737342,0.0125778191376719,0.9889444226515104,18.981309002075488,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,3,42,3690,0.7948523580866454,1.4888549148886223,0.0096847743229927,0.0096352741821695,0.9858606211966764,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,3,42,3775,1.3339741076538894,2.273601317360737,0.0184760651242235,0.0183967638135568,0.9838576226433274,67.82665284720402,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,3,2024,4413,0.9227928764123698,1.673081570725267,0.0125498113398998,0.0124413762796931,0.9895316813004452,21.22906177152045,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,3,2024,3690,0.761197738337323,1.476677139794647,0.0095572340995201,0.0094285509272671,0.9860909754011729,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,3,2024,3775,1.255097854816361,2.182475200681991,0.017639991154642,0.0173438239488278,0.9851256667912944,64.88460114948047,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,3,2025,4413,0.9195010580498968,1.6722163659450024,0.0124981274739363,0.0123259753195335,0.9895425055156446,22.287383101705284,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,3,2025,3690,0.7519181739993211,1.484519751223119,0.0093821890982795,0.0092510003822129,0.9859428418089796,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,3,2025,3775,1.2588786866649098,2.221884007868866,0.0177189768889725,0.0173994744445675,0.984583647314374,67.42229808985124,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,3,2026,4413,1.000269333791657,1.7255999774227295,0.0137563923828322,0.013835626327292,0.9888641606266642,11.594955908421213,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,3,2026,3690,0.8963391988904172,1.5403845680549175,0.0111482803002049,0.0111531343509973,0.98486494895429,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,3,2026,3775,1.3281196811499183,2.2022161178849795,0.0184226756883086,0.0184294538293819,0.9848553673035898,48.17154965374765,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,3,3407,4413,0.933668441737884,1.6914315128942636,0.0124514592338769,0.012384437040315,0.9893007942230192,15.253050598988152,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,3,3407,3690,0.8101030184324518,1.4700962558509227,0.0098573551424661,0.0097932391572387,0.9862146716541168,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,3,3407,3775,1.2906325854370926,2.180184697150607,0.0180191300263068,0.0178441704855437,0.9851568715762852,59.31709376104595,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9895833134651184, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,6,42,4558,0.8295359965111405,1.389701340125782,0.0114027222050686,0.01153728296602,0.9928622951737226,18.04482157222858,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,6,42,3504,0.7027296796781287,1.1498401912607918,0.0087265923218883,0.0087373791851428,0.9919190411886945,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,6,42,4104,1.2039201208490145,1.8964026090608104,0.0164092321780282,0.0164340887851891,0.9881624885466644,71.32051707285879,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,6,2024,4558,0.8410209988020344,1.3716166808174255,0.0111997548660868,0.0112364253967192,0.993046857217305,14.504106865508197,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,6,2024,3504,0.7344898116098691,1.1660763197780406,0.0089055310703621,0.0088775575354316,0.9916892182874196,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,6,2024,4104,1.2317453443887871,1.895187107143687,0.016620829339485,0.0164969050762485,0.9881776582227936,67.70080740657568,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,6,2025,4558,0.9164103260684714,1.5186007147670573,0.0124608391827863,0.0124139381658341,0.9914767970180676,30.69334056606585,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,6,2025,3504,0.7011912941388344,1.145105155003984,0.0086899339192544,0.0086851879243615,0.9919854588500796,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,6,2025,4104,1.224741740533483,1.8884995862445964,0.0164103738282676,0.0163593289425496,0.9882609456877992,74.66585092697781,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,6,2026,4558,0.8376534153568792,1.348899486606157,0.0111637747596458,0.0111100030088083,0.993275270646263,21.448593667805586,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,coverage,medium,6,2026,3504,0.6897184973982371,1.1519254315851326,0.0084911245849008,0.0084556960496156,0.9918897049022296,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,coverage,high,6,2026,4104,1.2095326745254489,1.869795818625127,0.0163499255962132,0.0162152922511249,0.9884923222345148,75.3661354723789,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,coverage,low,6,3407,4558,0.8530082522698168,1.3811891148532356,0.0118138384824361,0.0116919257792887,0.9929494673917952,15.899613020162375,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 0.9878471493721008, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
