phase,file_name,original_path,bytes,readable,non_empty,columns,row_count
phase13,TCN_h1_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h1_seed2025.parquet,268240,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,TCN_h1_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h1_seed2026.parquet,268756,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,TCN_h1_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h1_seed3407.parquet,268580,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,TCN_h1_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h1_seed42.parquet,268380,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,TCN_h3_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h3_seed2024.parquet,264633,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,TCN_h3_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h3_seed2025.parquet,264293,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,TCN_h3_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h3_seed2026.parquet,264841,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,TCN_h3_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h3_seed3407.parquet,264541,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,TCN_h3_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h3_seed42.parquet,264853,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,TCN_h6_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h6_seed2024.parquet,274716,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,TCN_h6_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h6_seed2025.parquet,274776,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,TCN_h6_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h6_seed2026.parquet,274740,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,TCN_h6_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h6_seed3407.parquet,274784,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,TCN_h6_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h6_seed42.parquet,274360,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,XGBoost_h1_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h1_seed2024.parquet,265396,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,XGBoost_h1_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h1_seed2025.parquet,265464,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,XGBoost_h1_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h1_seed2026.parquet,265316,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,XGBoost_h1_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h1_seed3407.parquet,265416,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,XGBoost_h1_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h1_seed42.parquet,265264,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,XGBoost_h3_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h3_seed2024.parquet,262609,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,XGBoost_h3_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h3_seed2025.parquet,262585,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,XGBoost_h3_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h3_seed2026.parquet,262597,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,XGBoost_h3_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h3_seed3407.parquet,262553,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,XGBoost_h3_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h3_seed42.parquet,262437,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,XGBoost_h6_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h6_seed2024.parquet,272716,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,XGBoost_h6_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h6_seed2025.parquet,272732,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,XGBoost_h6_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h6_seed2026.parquet,272660,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,XGBoost_h6_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h6_seed3407.parquet,272792,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,XGBoost_h6_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\XGBoost_h6_seed42.parquet,272736,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
