phase,experiment,ratio_percent,horizon,seed,train_n,val_n,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE_100_percent,relative_MAE_change_percent
phase16,small_sample,40,6,2024,26685,11700,12166,1.122028192798891,1.6328465445821043,0.0146898293161801,0.0145928501616505,0.9894098238219312,1.0143020851879003,10.620712427208945
phase16,small_sample,60,6,2024,40028,11700,12166,1.0688611676029405,1.5843257037595242,0.0141069914293039,0.0139988151090776,0.990029857206616,1.0143020851879003,5.3789776450013935
phase16,small_sample,80,6,2024,53371,11700,12166,1.0369806156412429,1.5851500958364622,0.0137634824737256,0.0136168638044791,0.9900194787280838,1.0143020851879003,2.235875365388914
phase16,small_sample,100,6,2024,66714,11700,12166,1.0143020851879003,1.5467639131350026,0.0133290458473402,0.0132292072902548,0.9904970049202052,1.0143020851879003,0.0
phase16,small_sample,20,6,2025,13342,11700,12166,1.2608633685735189,1.8692060777614312,0.0171271896436373,0.0169356506667141,0.9861220023064174,1.1314962272010665,11.43328084199294
phase16,small_sample,40,6,2025,26685,11700,12166,1.2425707955511702,1.866617621299156,0.0164693497128997,0.0163449849589465,0.9861604118971312,1.1314962272010665,9.81660969607156
phase16,small_sample,60,6,2025,40028,11700,12166,1.1539452769304408,1.733423583828818,0.0151817837883011,0.0151312751269852,0.9880650159204494,1.1314962272010665,1.984014545493058
phase16,small_sample,80,6,2025,53371,11700,12166,1.1839835398804293,1.776126782865054,0.0155556292096635,0.0155591126193344,0.9874697317526524,1.1314962272010665,4.638752778628207
phase16,small_sample,100,6,2025,66714,11700,12166,1.1314962272010665,1.73935893124201,0.0147547944657096,0.0146294932220023,0.9879831437746892,1.1314962272010665,0.0
phase16,small_sample,20,6,2026,13342,11700,12166,1.4688560564855435,2.172503358503356,0.019316378473855,0.0193680549397413,0.9812529319843398,1.1326843643000344,29.67920303139821
phase16,small_sample,40,6,2026,26685,11700,12166,1.3234662954771614,1.959790325358271,0.0172543425231939,0.0172701615712245,0.9847443168246,1.1326843643000344,16.84334464129596
phase16,small_sample,60,6,2026,40028,11700,12166,1.1894080139942786,1.768357596241407,0.0155640256009681,0.0155018762533264,0.9875791125443596,1.1326843643000344,5.007895534012938
phase16,small_sample,80,6,2026,53371,11700,12166,1.327988661101788,1.991625444022252,0.0172940044405547,0.0173265392441847,0.9842446602069458,1.1326843643000344,17.24260552695508
phase16,small_sample,100,6,2026,66714,11700,12166,1.1326843643000344,1.697791532674226,0.0146779715182102,0.0146380448137039,0.98855064111683,1.1326843643000344,0.0
phase16,small_sample,20,6,3407,13342,11700,12166,1.3331735605631496,1.9758182016014791,0.0178752831619295,0.0177898358095266,0.984493763416038,1.0855548328109308,22.810338111713435
phase16,small_sample,40,6,3407,26685,11700,12166,1.2240204720949432,1.8425958274847145,0.0163821669048555,0.0162700313285684,0.9865143274944924,1.0855548328109308,12.755287443700118
phase16,small_sample,60,6,3407,40028,11700,12166,1.1203154786997438,1.6870901654506578,0.0148692972777185,0.0148778751987108,0.9886945193857948,1.0855548328109308,3.202108713274662
phase16,small_sample,80,6,3407,53371,11700,12166,1.153840412263433,1.7594024913001245,0.0153756020944891,0.0153108293408492,0.9877045947558184,1.0855548328109308,6.290385099726723
phase16,small_sample,100,6,3407,66714,11700,12166,1.0855548328109308,1.7019167208761412,0.0142225025482834,0.0141068219298615,0.9884949356448034,1.0855548328109308,0.0
