phase,experiment,level,level_numeric,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE,relative_MAE_change_percent
phase16,noise,high,0.15,6,2024,12166,1.19819731040552,1.6933855079555693,0.0153964893745172,0.0152988789307802,0.9886099896288156,1.0143020851879003,18.13022253459657
phase16,noise,clean,0.0,6,2025,12166,1.1314962272010665,1.73935893124201,0.0147547944657096,0.0146294932220023,0.9879831437746892,1.1314962272010665,0.0
phase16,noise,low,0.05,6,2025,12166,1.158536764894605,1.7528706452621563,0.0150400355731665,0.0149124896055416,0.9877957195716311,1.1314962272010665,2.38980361078424
phase16,noise,medium,0.1,6,2025,12166,1.2292935285014814,1.803210890445488,0.015831051456356,0.0157001135011329,0.9870846706556904,1.1314962272010665,8.643184038035367
phase16,noise,high,0.15,6,2025,12166,1.3266729501915198,1.8875689510739608,0.0169501146280809,0.0168148322503688,0.985847991135518,1.1314962272010665,17.249436480513378
phase16,noise,clean,0.0,6,2026,12166,1.1326843643000344,1.697791532674226,0.0146779715182102,0.0146380448137039,0.98855064111683,1.1326843643000344,0.0
phase16,noise,low,0.05,6,2026,12166,1.155748320590033,1.7152609809811403,0.0149476786086776,0.0149089028201828,0.988313812268832,1.1326843643000344,2.0362209470642267
phase16,noise,medium,0.1,6,2026,12166,1.214829487371813,1.763962364252544,0.0156394853135723,0.0156018189269357,0.9876407797515544,1.1326843643000344,7.252251877118649
phase16,noise,high,0.15,6,2026,12166,1.3000435917741586,1.8418257189614105,0.016647664951123,0.0166114808482405,0.9865255977480132,1.1326843643000344,14.77545137453604
phase16,noise,clean,0.0,6,3407,12166,1.0855548328109308,1.7019167208761412,0.0142225025482834,0.0141068219298615,0.9884949356448034,1.0855548328109308,0.0
phase16,noise,low,0.05,6,3407,12166,1.1116332985863724,1.722121269788795,0.0145252153357733,0.0144087439998624,0.9882201461184492,1.0855548328109308,2.4023167680912194
phase16,noise,medium,0.1,6,3407,12166,1.1781275324497729,1.7728226526419049,0.0152831761853532,0.0151643042539028,0.9875163085270892,1.0855548328109308,8.527685275845048
phase16,noise,high,0.15,6,3407,12166,1.2726453134893254,1.8516949802893805,0.0163705193086296,0.0162482661784836,0.9863808080614136,1.0855548328109308,17.234549100937016
