dataset,phase,model,model_note,horizon,seed,history_hours,aggregation,sensor_count,train_n,val_n,test_n,MAE,RMSE,MAPE,sMAPE,R2,fit_time_sec,inference_time_sec,config_hash,data_hash
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,3,2025,24,1h,50,98600,20050,20100,5.595527209950917,9.503428974581972,0.1596610710122457,0.1168458788848799,0.3675263274626658,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,3,2025,24,1h,50,98600,20050,20100,6.3192616467452165,11.74912940588088,0.1618063256192038,0.1372829311941865,0.0332967915887312,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,3,2025,24,1h,50,98600,20050,20100,4.206038004652185,7.434342628978274,0.1145550839656106,0.0902524586824947,0.6129501254751586,84.34401349996915,0.9527000000234692,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,3,2025,24,1h,50,98600,20050,20100,4.122864090174585,7.426607582567508,0.1149328280595941,0.0894156734442494,0.6137551169640365,239.51705820002823,0.5046379999839701,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,3,2025,24,1h,50,98600,20050,20100,4.206038004652185,7.434342628978274,0.1145550839656106,0.0902524586824947,0.6129501254751586,83.49782639998011,0.3421489000320434,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,3,2026,24,1h,50,98600,20050,20100,5.595527209950917,9.503428974581972,0.1596610710122457,0.1168458788848799,0.3675263274626658,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,3,2026,24,1h,50,98600,20050,20100,6.3192616467452165,11.74912940588088,0.1618063256192038,0.1372829311941865,0.0332967915887312,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,3,2026,24,1h,50,98600,20050,20100,4.023886999822968,7.278841200636554,0.1110245062175475,0.0868918209404944,0.6289723505894151,162.2732334000175,0.1869395000394433,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,3,2026,24,1h,50,98600,20050,20100,4.060693457114756,7.351564358827948,0.1148620781091719,0.0882581677060943,0.6215214137548601,261.2115057000192,0.5255389999947511,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,3,2026,24,1h,50,98600,20050,20100,4.023886999822968,7.278841200636554,0.1110245062175475,0.0868918209404944,0.6289723505894151,166.62978919997113,0.1800590999773703,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
